"Source:","/Users/ELANDAHL/Downloads/ADSR_2-27-21/ADSR_SR_2-26-21.sch"
"Date:","Sunday, January 08, 2023 at 08:46:46 PM"
"Tool:","Eeschema (6.0.10-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","40"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C4, C6, C7, C8, C9, ","7","10nF","C-EUC0805K-VCO-eagle-import","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","",""
"C3, ","1","10uF","CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","",""
"C5, ","1","2uF","C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","Unpolarized capacitor",""
"D1, D2, D3, D4, D5, ","5","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"D6, ","1","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"IC1, ","1","555N","555N-VCO-eagle-import","Package_DIP:DIP-8_W7.62mm","",""
"J1, J2, ","2","AudioJack2_Ground","AudioJack2_Ground","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","Audio Jack, 2 Poles (Mono / TS), Grounded Sleeve",""
"POT1, POT2, POT4, ","3","2M","POT-EU16MM-VCO-eagle-import","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","",""
"POT3, ","1","10k","POT-EU16MM-VCO-eagle-import","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","",""
"Q1, Q2, Q3, ","3","2N3904","2N3904","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R1, R7, ","2","10k","R-EU_0207_10-VCO-eagle-import","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R2, ","1","22k","R-EU_0207_10-VCO-eagle-import","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R3, ","1","1 M","R-EU_0207_10-VCO-eagle-import","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R4, R5, R6, R8, ","4","4.7k","R-EU_0207_10-VCO-eagle-import","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R9, R10, R11, ","3","220r","R-EU_0207_10-VCO-eagle-import","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R12, ","1","2.2K","R-EU_0207_10-VCO-eagle-import","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"SV1, ","1","ML10","ML10-VCO-eagle-import","Connector_IDC:IDC-Header_2x05_P2.54mm_Latch_Vertical","",""
"SW1, ","1","SW_MEC_5G","SW_DIP_x01","Custom_switch_lib:SW_DIP_SPSTx01_button_custom_SR","1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"U1, ","1","TL082","TL082","Package_DIP:DIP-8_W7.62mm","Dual JFET-Input Operational Amplifiers, DIP-8/SOIC-8/SSOP-8",""
